vin_#,brand,model,model_year,series,segment,bodystyle,month_sold,day_sold,year_sold,sold_date,quarter,sales_volume,drive_configuration,engine,transmission,trim,color,seats,package,moonroof,parking_assist,remote_start,keyless_entry_keypad,premium_radio,power_mirror,moonroof_cost,parking_assist_cost,remote_start_cost,keyless_entry_keypad_cost,premium_radio_cost,power_mirror_cost,region,country_of_sale,days_on_lot,sales_channel_l1,sales_channel_l2,sales_channel_l3,marketing_campaign,gross_sales,variable_marketing,net_sales,labor,tooling,materials,option_costs,package_costs,freight,overhead,warranty,engineering,depreciation,total_variable_cost,contribution_margin,total_fixed_cost,tariffs,net_revenue,after_tax,sales_date
1ABCD2E34FG634586,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,1.0,17.0,2015.0,1/17/15,Q1,1.0,4WD,v13 Diesel,6 Speed Manual,Deluxe,Silver,Vinyl,None,0,1.0,1,1.0,1.0,0.0,0.0,870.0,425.0,640.0,710.0,0.0,North America,USA,14,Dealer/Self Registration,Rental,Leasing,Segment and Misc Incentives,31194.0,1953.0,29241.0,1373.0,1497.0,4367.0,3065.0,0.0,873.0,1123.0,1248.0,1497.0,499.0,12049.0,17192.0,3494.0,852.0,13698.0,12847.0,2015-01-17
1ABCD2E34FG634860,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,11.0,18.0,2015.0,11/18/15,Q4,1.0,4WD,v13 Diesel,6 Speed Manual,Deluxe,White,Vinyl,None,0,1.0,1,1.0,1.0,0.0,0.0,870.0,425.0,640.0,710.0,0.0,North America,USA,14,Dealer/Self Registration,Rental,Leasing,Segment and Misc Incentives,31444.0,1969.0,29475.0,1384.0,1509.0,4402.0,3065.0,1795.0,880.0,1132.0,1258.0,1509.0,503.0,13916.0,15559.0,3522.0,858.0,12038.0,11179.0,2015-11-18
1ABCD2E34FG634342,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,3.0,29.0,2015.0,3/29/15,Q1,1.0,AWD,v13 Supercharged,5 Speed Auto,Deluxe,Gray,Vinyl,None,0,1.0,0,1.0,0.0,1.0,0.0,870.0,0.0,640.0,0.0,370.0,North America,USA,15,Dealer/Self Registration,Rental,Leasing,Special Leases,29516.0,2256.0,27260.0,1307.0,1426.0,4160.0,2300.0,0.0,832.0,1070.0,1189.0,1426.0,475.0,10858.0,16402.0,3328.0,806.0,13074.0,12269.0,2015-03-29
1ABCD2E34FG634878,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,12.0,17.0,2015.0,12/17/15,Q4,1.0,AWD,v13 Supercharged,5 Speed Auto,Deluxe,White,Vinyl,None,0,1.0,0,1.0,0.0,1.0,0.0,870.0,0.0,640.0,0.0,370.0,North America,USA,15,Dealer/Self Registration,Rental,Leasing,Special Leases,29752.0,2274.0,27478.0,1318.0,1438.0,4193.0,2300.0,1795.0,839.0,1078.0,1198.0,1438.0,479.0,12721.0,14757.0,3355.0,812.0,11402.0,10590.0,2015-12-17
1ABCD2E34FG634790,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,10.0,30.0,2015.0,10/30/15,Q4,1.0,4WD,v11 Gas,6 Speed Manual,Base,Gray,Leather,Technology Package,0,0.0,1,0.0,1.0,0.0,0.0,0.0,425.0,0.0,710.0,0.0,North America,USA,15,Dealer/Self Registration,Rental,Cash,Cash Rebates,30999.0,4365.0,26634.0,1364.0,1488.0,4340.0,1685.0,1110.0,868.0,1116.0,1240.0,1488.0,496.0,11723.0,14912.0,3472.0,846.0,11440.0,10594.0,2015-10-30
1ABCD2E34FG634558,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,1.0,23.0,2015.0,1/23/15,Q1,1.0,4WD,v11 Gas,6 Speed Manual,Base,White,Leather,Technology Package,0,0.0,1,0.0,1.0,0.0,0.0,0.0,425.0,0.0,710.0,0.0,North America,USA,15,Dealer/Self Registration,Rental,Cash,Cash Rebates,30753.0,4330.0,26423.0,1353.0,1476.0,4305.0,1685.0,1795.0,861.0,1107.0,1230.0,1476.0,492.0,12337.0,14086.0,3444.0,840.0,10642.0,9802.0,2015-01-23
1ABCD2E34FG634211,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,1.0,23.0,2015.0,1/23/15,Q1,1.0,AWD,v11 Diesel,5 Speed Manual,Base,Champagne,Cloth,Technology Package,1,0.0,0,0.0,0.0,0.0,825.0,0.0,0.0,0.0,0.0,0.0,North America,USA,15,Retail,Non-Employee,Leasing,Special Leases,29624.0,2970.0,26654.0,1380.0,1506.0,4391.0,1375.0,1795.0,878.0,1129.0,1255.0,1506.0,502.0,12203.0,14451.0,3513.0,809.0,10938.0,10129.0,2015-01-23
1ABCD2E34FG634576,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,3.0,10.0,2015.0,3/10/15,Q1,1.0,4WD,v13 Supercharged,5 Speed Auto,Base,Black,Cloth,None,0,1.0,1,1.0,0.0,1.0,0.0,870.0,425.0,640.0,0.0,370.0,North America,USA,19,Dealer/Self Registration,Rental,Leasing,Low-Interest Financing,31604.0,2846.0,28758.0,1391.0,1517.0,4425.0,2725.0,0.0,885.0,1138.0,1264.0,1517.0,506.0,11827.0,16931.0,3540.0,863.0,13391.0,12529.0,2015-03-10
1ABCD2E34FG634431,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,8.0,20.0,2015.0,8/20/15,Q3,1.0,AWD,v11 Turbo,5 Speed Manual,Luxury,Gray,Cloth,None,1,1.0,0,0.0,0.0,0.0,825.0,870.0,0.0,0.0,0.0,0.0,North America,USA,19,Dealer/Self Registration,Rental,Cash,Segment and Misc Incentives,29338.0,1701.0,27637.0,1291.0,1408.0,4546.0,2115.0,1795.0,821.0,1056.0,1722.0,1735.0,469.0,13347.0,14290.0,3613.0,801.0,10678.0,9877.0,2015-08-20
1ABCD2E34FG634685,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,8.0,20.0,2015.0,8/20/15,Q3,1.0,AWD,v11 Turbo,5 Speed Manual,Luxury,Gray,Cloth,None,1,1.0,0,0.0,0.0,0.0,825.0,870.0,0.0,0.0,0.0,0.0,North America,USA,19,Dealer/Self Registration,Rental,Cash,Segment and Misc Incentives,29338.0,1701.0,27637.0,1291.0,1408.0,4546.0,2115.0,0.0,821.0,1056.0,1722.0,1735.0,469.0,11552.0,16085.0,3613.0,801.0,12473.0,11672.0,2015-08-20
1ABCD2E34FG634277,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,3.0,10.0,2015.0,3/10/15,Q1,1.0,AWD,v11 Turbo,5 Speed Auto,Base,Black,Cloth,Exterior Protection Package,1,0.0,0,1.0,1.0,1.0,825.0,0.0,0.0,640.0,710.0,370.0,North America,USA,23,Retail,Non-Employee,Cash,Cash Rebates,29325.0,4096.0,25229.0,1290.0,1408.0,4106.0,2965.0,1110.0,821.0,1056.0,1173.0,1408.0,469.0,12521.0,12708.0,3284.0,801.0,9424.0,8623.0,2015-03-10
1ABCD2E34FG634377,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,5.0,3.0,2015.0,5/3/15,Q2,1.0,4WD,v13 Gas,5 Speed Auto,Luxury,Gray,Leather,None,1,1.0,1,1.0,0.0,1.0,825.0,870.0,425.0,640.0,0.0,370.0,North America,USA,25,Retail,Non-Employee,Leasing,Low-Interest Financing,28633.0,2971.0,25662.0,1441.0,1572.0,4193.0,4100.0,1110.0,1044.0,1179.0,1024.0,1419.0,700.0,14091.0,11571.0,3691.0,782.0,7879.0,7098.0,2015-05-03
1ABCD2E34FG634317,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,9.0,12.0,2015.0,9/12/15,Q3,1.0,4WD,v13 Supercharged,5 Speed Auto,Special Edition,Blue,Vinyl,Technology Package,0,0.0,1,0.0,1.0,1.0,0.0,0.0,425.0,0.0,710.0,370.0,North America,USA,27,Retail,Non-Employee,Financing,Low-Interest Financing,29955.0,2649.0,27306.0,1318.0,1438.0,4859.0,1925.0,1795.0,839.0,1078.0,1956.0,1898.0,479.0,13770.0,13536.0,3815.0,818.0,9721.0,8903.0,2015-09-12
1ABCD2E34FG634639,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,9.0,12.0,2015.0,9/12/15,Q3,1.0,4WD,v13 Supercharged,5 Speed Auto,Special Edition,Blue,Vinyl,Technology Package,0,0.0,1,0.0,1.0,1.0,0.0,0.0,425.0,0.0,710.0,370.0,North America,USA,29,Retail,Non-Employee,Financing,Low-Interest Financing,29955.0,2649.0,27306.0,1318.0,1438.0,4859.0,1925.0,0.0,839.0,1078.0,1956.0,1898.0,479.0,11975.0,15331.0,3815.0,818.0,11516.0,10698.0,2015-09-12
1ABCD2E34FG634319,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,9.0,12.0,2015.0,9/12/15,Q3,1.0,4WD,v13 Supercharged,5 Speed Auto,Special Edition,Blue,Vinyl,Technology Package,0,0.0,1,0.0,1.0,1.0,0.0,0.0,425.0,0.0,710.0,370.0,North America,USA,30,Retail,Non-Employee,Financing,Low-Interest Financing,29955.0,2649.0,27306.0,1318.0,1438.0,4859.0,1925.0,1795.0,839.0,1078.0,1956.0,1898.0,479.0,13770.0,13536.0,3815.0,818.0,9721.0,8903.0,2015-09-12
1ABCD6E34FG634448,Tatra,Advantage,2016.0,A1,Full-Size,Pickup Truck,8.0,20.0,2016.0,8/20/16,Q3,1.0,AWD,v11 Diesel,6 Speed Manual,Luxury,White,Leather,Exterior Protection Package,0,1.0,0,1.0,1.0,0.0,0.0,870.0,0.0,640.0,710.0,0.0,North America,USA,31,Retail,Non-Employee,Cash,Low-Interest Financing,29329.0,3024.0,26305.0,1290.0,1408.0,4880.0,2645.0,1110.0,821.0,1056.0,1978.0,1818.0,469.0,13780.0,12525.0,3695.0,801.0,8829.0,8029.0,2016-08-20
1ABCD2E34FG634750,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,12.0,15.0,2015.0,12/15/15,Q4,1.0,AWD,v11 Supercharged,6 Speed Manual,Luxury,Blue,Cloth,Technology Package,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,710.0,370.0,North America,USA,32,Retail,Non-Employee,Leasing,Low-Interest Financing,32003.0,2450.0,29553.0,1408.0,1536.0,4480.0,1630.0,0.0,896.0,1152.0,1280.0,1536.0,512.0,10847.0,18706.0,3584.0,874.0,15121.0,14248.0,2015-12-15
1ABCD2E34FG634500,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,1.0,17.0,2015.0,1/17/15,Q1,1.0,AWD,v11 Supercharged,6 Speed Manual,Luxury,White,Cloth,Technology Package,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,710.0,370.0,North America,USA,32,Retail,Non-Employee,Leasing,Low-Interest Financing,31749.0,2431.0,29318.0,1397.0,1524.0,4445.0,1630.0,1795.0,889.0,1143.0,1270.0,1524.0,508.0,12569.0,16749.0,3556.0,867.0,13193.0,12327.0,2015-01-17
1ABCD6E34FG634554,Tatra,Advantage,2016.0,A1,Full-Size,Pickup Truck,8.0,20.0,2016.0,8/20/16,Q3,1.0,4WD,v11 Turbo,5 Speed Auto,Deluxe,Black,Vinyl,Technology Package,0,0.0,1,1.0,0.0,0.0,0.0,0.0,425.0,640.0,0.0,0.0,North America,USA,32,Retail,Non-Employee,Cash,Low-Interest Financing,30280.0,2714.0,27567.0,1332.0,1453.0,4966.0,2035.0,0.0,848.0,1090.0,1978.0,1821.0,484.0,12249.0,15317.0,3759.0,827.0,11558.0,10731.0,2016-08-20
1ABCD6E34FG634201,Tatra,Advantage,2016.0,A1,Full-Size,Pickup Truck,7.0,27.0,2016.0,7/27/16,Q3,1.0,4WD,v11 Turbo,5 Speed Auto,Base,Gray,Leather,Exterior Protection Package,0,1.0,0,1.0,0.0,1.0,0.0,870.0,0.0,640.0,0.0,370.0,North America,USA,33,Retail,Non-Employee,Leasing,Low-Interest Financing,30093.0,2188.0,27904.0,1324.0,1444.0,4865.0,2305.0,1110.0,843.0,1083.0,1640.0,1816.0,481.0,13170.0,14735.0,3742.0,822.0,10992.0,10171.0,2016-07-27
1ABCD2E34FG634705,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,10.0,18.0,2015.0,10/18/15,Q4,1.0,4WD,v13 Turbo,6 Speed Manual,Luxury,Blue,Cloth,Technology Package,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,North America,USA,33,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,31972.0,2707.0,29264.0,1407.0,1535.0,4396.0,1060.0,1795.0,1081.0,1151.0,1418.0,1244.0,704.0,12307.0,16957.0,3482.0,873.0,13475.0,12602.0,2015-10-18
1ABCD2E34FG634282,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,6.0,3.0,2015.0,6/3/15,Q2,1.0,4WD,v13 Turbo,6 Speed Manual,Luxury,Gray,Cloth,Technology Package,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,North America,USA,33,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,31718.0,2686.0,29032.0,1396.0,1522.0,4361.0,1060.0,1795.0,1072.0,1142.0,1407.0,1234.0,698.0,12232.0,16800.0,3454.0,866.0,13345.0,12479.0,2015-06-03
1ABCD2E34FG634330,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,4.0,2.0,2015.0,4/2/15,Q2,1.0,4WD,v13 Gas,6 Speed Auto,Luxury,Gray,Cloth,Exterior Protection Package,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,USA,37,Retail,Non-Employee,Leasing,Low-Interest Financing,28144.0,2106.0,26038.0,1291.0,1408.0,4231.0,845.0,1110.0,1016.0,1056.0,1394.0,1320.0,648.0,10943.0,15095.0,3376.0,768.0,11719.0,10951.0,2015-04-02
1ABCD2E34FG634891,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,11.0,27.0,2015.0,11/27/15,Q4,1.0,4WD,v13 Gas,6 Speed Auto,Luxury,Gray,Cloth,Exterior Protection Package,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North America,USA,37,Retail,Non-Employee,Leasing,Low-Interest Financing,28369.0,2123.0,26246.0,1301.0,1419.0,4265.0,845.0,0.0,1024.0,1065.0,1405.0,1331.0,653.0,9905.0,16341.0,3403.0,774.0,12938.0,12164.0,2015-11-27
1ABCD2E34FG634237,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,7.0,27.0,2015.0,7/27/15,Q3,1.0,AWD,v13 Gas,6 Speed Manual,Base,Gray,Vinyl,Exterior Protection Package,0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,710.0,370.0,North America,USA,37,Retail,Non-Employee,Cash,Cash Rebates,28054.0,4346.0,23708.0,1234.0,1347.0,4972.0,1925.0,1110.0,786.0,1010.0,1675.0,1792.0,449.0,12712.0,10996.0,3587.0,766.0,7409.0,6643.0,2015-07-27
1ABCD2E34FG634452,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,2.0,11.0,2015.0,2/11/15,Q1,1.0,AWD,v11 Diesel,5 Speed Auto,Deluxe,Gray,Leather,None,0,0.0,1,1.0,1.0,0.0,0.0,0.0,425.0,640.0,710.0,0.0,North America,USA,37,Dealer/Self Registration,Rental,Cash,Cash Rebates,31375.0,4783.0,26592.0,1381.0,1506.0,4393.0,2195.0,0.0,879.0,1130.0,1255.0,1506.0,502.0,11231.0,15361.0,3514.0,857.0,11847.0,10990.0,2015-02-11
1ABCD2E34FG634806,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,10.0,5.0,2015.0,10/5/15,Q4,1.0,4WD,v13 Gas,5 Speed Auto,Luxury,Blue,Cloth,Technology Package,1,0.0,1,0.0,1.0,1.0,825.0,0.0,425.0,0.0,710.0,370.0,North America,USA,37,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,29025.0,2420.0,26605.0,1277.0,1393.0,4891.0,2750.0,1110.0,813.0,1045.0,1693.0,1927.0,464.0,13579.0,13026.0,3785.0,792.0,9241.0,8449.0,2015-10-05
1ABCD2E34FG634238,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,7.0,27.0,2015.0,7/27/15,Q3,1.0,4WD,v13 Gas,5 Speed Auto,Luxury,Blue,Cloth,Technology Package,1,0.0,1,0.0,1.0,1.0,825.0,0.0,425.0,0.0,710.0,370.0,North America,USA,37,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,28795.0,2401.0,26394.0,1267.0,1382.0,4852.0,2750.0,1110.0,806.0,1037.0,1680.0,1912.0,461.0,13502.0,12892.0,3755.0,786.0,9137.0,8351.0,2015-07-27
1ABCD2E34FG634354,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,7.0,27.0,2015.0,7/27/15,Q3,1.0,4WD,v13 Gas,5 Speed Auto,Luxury,Blue,Cloth,Technology Package,1,0.0,1,0.0,1.0,1.0,825.0,0.0,425.0,0.0,710.0,370.0,North America,USA,37,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,28795.0,2401.0,26394.0,1267.0,1382.0,4852.0,2750.0,0.0,806.0,1037.0,1680.0,1912.0,461.0,12392.0,14002.0,3755.0,786.0,10247.0,9461.0,2015-07-27
1ABCD2E34FG634365,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,3.0,29.0,2015.0,3/29/15,Q1,1.0,AWD,v11 Gas,6 Speed Auto,Deluxe,Blue,Vinyl,Exterior Protection Package,1,0.0,0,1.0,0.0,0.0,825.0,0.0,0.0,640.0,0.0,0.0,North America,USA,38,Retail,Non-Employee,Financing,Low-Interest Financing,29168.0,2204.0,26964.0,1412.0,1541.0,4494.0,1885.0,1110.0,899.0,1156.0,1284.0,1541.0,514.0,12240.0,14724.0,3595.0,796.0,11128.0,10332.0,2015-03-29
1ABCD2E34FG634393,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,6.0,27.0,2015.0,6/27/15,Q2,1.0,AWD,v13 Gas,5 Speed Manual,Special Edition,Gray,Vinyl,None,0,0.0,1,1.0,1.0,1.0,0.0,0.0,425.0,640.0,710.0,370.0,North America,USA,39,Retail,Non-Employee,Leasing,Low-Interest Financing,30413.0,2726.0,27687.0,1364.0,1488.0,4282.0,2145.0,0.0,1052.0,1116.0,1153.0,1449.0,634.0,11112.0,16575.0,3571.0,830.0,13004.0,12174.0,2015-06-27
1ABCD2E34FG634477,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,2.0,11.0,2015.0,2/11/15,Q1,1.0,4WD,v13 Supercharged,6 Speed Auto,Special Edition,Black,Cloth,Exterior Protection Package,0,1.0,0,0.0,0.0,1.0,0.0,870.0,0.0,0.0,0.0,370.0,North America,USA,40,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,28431.0,2700.0,25731.0,1251.0,1365.0,3980.0,1240.0,1110.0,796.0,1024.0,1137.0,1365.0,455.0,10538.0,15193.0,3184.0,776.0,12009.0,11232.0,2015-02-11
1ABCD2E34FG634482,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,2.0,11.0,2015.0,2/11/15,Q1,1.0,4WD,v13 Supercharged,6 Speed Auto,Special Edition,Black,Cloth,Exterior Protection Package,0,1.0,0,0.0,0.0,1.0,0.0,870.0,0.0,0.0,0.0,370.0,North America,USA,40,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,28431.0,2700.0,25731.0,1251.0,1365.0,3980.0,1240.0,1110.0,796.0,1024.0,1137.0,1365.0,455.0,10538.0,15193.0,3184.0,776.0,12009.0,11232.0,2015-02-11
1ABCD2E34FG634789,Tatra,Advantage,2015.0,A1,Full-Size,Pickup Truck,11.0,9.0,2015.0,11/9/15,Q4,1.0,4WD,v13 Supercharged,6 Speed Auto,Special Edition,Blue,Cloth,Exterior Protection Package,0,1.0,0,0.0,0.0,1.0,0.0,870.0,0.0,0.0,0.0,370.0,North America,USA,40,Dealer/Self Registration,Rental,Financing,Low-Interest Financing,28658.0,2722.0,25937.0,1261.0,1376.0,4012.0,1240.0,1795.0,802.0,1032.0,1146.0,1376.0,459.0,11289.0,14648.0,3210.0,782.0,11438.0,10656.0,2015-11-09
1ABCD6E34FG634319,Tatra,Advantage,2016.0,A1,Full-Size,Pickup Truck,9.0,12.0,2016.0,9/12/16,Q3,1.0,4WD,v13 Supercharged,5 Speed Auto,Special Edition,Blue,Vinyl,Technology Package,0,0.0,1,0.0,1.0,1.0,0.0,0.0,425.0,0.0,710.0,370.0,North America,USA,40,Retail,Non-Employee,Financing,Low-Interest Financing,30195.0,2670.0,27524.0,1329.0,1449.0,4898.0,1925.0,1795.0,845.0,1087.0,1972.0,1913.0,483.0,13851.0,13674.0,3846.0,824.0,9828.0,9004.0,2016-09-12
